Class FQN,Interface FQN
DrawApplet.java,org.jhotdraw.framework.DrawingEditor 
DrawApplet.java,org.jhotdraw.util.PaletteListener 
DrawApplet.java,org.jhotdraw.util.VersionRequester 
DrawApplet.java,javax.accessibility.Accessible 
DrawApplet.java,javax.swing.RootPaneContainer 
DrawApplet.java,javax.swing.TransferHandler$HasGetTransferHandler 
DrawApplet.java,java.awt.image.ImageObserver 
DrawApplet.java,java.awt.MenuContainer 
DrawApplet.java,java.io.Serializable 
DrawApplication.java,org.jhotdraw.framework.DrawingEditor 
DrawApplication.java,org.jhotdraw.util.PaletteListener 
DrawApplication.java,org.jhotdraw.util.VersionRequester 
DrawApplication.java,javax.swing.WindowConstants 
DrawApplication.java,javax.accessibility.Accessible 
DrawApplication.java,javax.swing.RootPaneContainer 
DrawApplication.java,javax.swing.TransferHandler$HasGetTransferHandler 
DrawApplication.java,java.awt.MenuContainer 
DrawApplication.java,java.awt.image.ImageObserver 
DrawApplication.java,java.io.Serializable 
ClippingUpdateStrategy.java,org.jhotdraw.framework.Painter 
ClippingUpdateStrategy.java,java.io.Serializable 
PolygonScaleHandle.java,org.jhotdraw.framework.Handle 
PolygonScaleHandle.java,org.jhotdraw.util.Undoable 
MDI_DrawApplication.java,org.jhotdraw.framework.DrawingEditor 
MDI_DrawApplication.java,org.jhotdraw.util.PaletteListener 
MDI_DrawApplication.java,org.jhotdraw.util.VersionRequester 
MDI_DrawApplication.java,javax.swing.WindowConstants 
MDI_DrawApplication.java,javax.accessibility.Accessible 
MDI_DrawApplication.java,javax.swing.RootPaneContainer 
MDI_DrawApplication.java,javax.swing.TransferHandler$HasGetTransferHandler 
MDI_DrawApplication.java,java.awt.MenuContainer 
MDI_DrawApplication.java,java.awt.image.ImageObserver 
MDI_DrawApplication.java,java.io.Serializable 
NestedCreationTool.java,org.jhotdraw.framework.Tool 
PolygonFigure.java,org.jhotdraw.framework.Figure 
PolygonFigure.java,java.lang.Cloneable 
PolygonFigure.java,java.io.Serializable 
PolygonHandle.java,org.jhotdraw.framework.Handle 
PolygonHandle.java,org.jhotdraw.util.Undoable 
SimpleLayouter.java,org.jhotdraw.contrib.Layouter 
SimpleLayouter.java,java.io.Serializable 
DesktopEvent.java,java.io.Serializable 
GraphicalCompositeFigure.java,org.jhotdraw.contrib.Layoutable 
GraphicalCompositeFigure.java,org.jhotdraw.framework.Figure 
GraphicalCompositeFigure.java,java.lang.Cloneable 
GraphicalCompositeFigure.java,java.io.Serializable 
GraphicalCompositeFigure.java,org.jhotdraw.framework.FigureChangeListener 
GraphicalCompositeFigure.java,java.util.EventListener 
MDIDesktopPane.java,org.jhotdraw.contrib.Desktop 
MDIDesktopPane.java,javax.accessibility.Accessible 
MDIDesktopPane.java,java.io.Serializable 
MDIDesktopPane.java,javax.swing.TransferHandler$HasGetTransferHandler 
MDIDesktopPane.java,java.awt.image.ImageObserver 
MDIDesktopPane.java,java.awt.MenuContainer 
MDIDesktopPane.java,javax.swing.DesktopManager 
MDIDesktopPane.java,java.io.Serializable 
StandardLayouter.java,org.jhotdraw.contrib.Layouter 
StandardLayouter.java,java.io.Serializable 
SplitConnectionTool.java,org.jhotdraw.framework.Tool 
TextAreaFigure.java,org.jhotdraw.framework.FigureChangeListener 
TextAreaFigure.java,org.jhotdraw.standard.TextHolder 
TextAreaFigure.java,java.util.EventListener 
TextAreaFigure.java,org.jhotdraw.framework.Figure 
TextAreaFigure.java,java.lang.Cloneable 
TextAreaFigure.java,java.io.Serializable 
CustomToolBar.java,javax.swing.SwingConstants 
CustomToolBar.java,javax.accessibility.Accessible 
CustomToolBar.java,java.io.Serializable 
CustomToolBar.java,javax.swing.TransferHandler$HasGetTransferHandler 
CustomToolBar.java,java.awt.image.ImageObserver 
CustomToolBar.java,java.awt.MenuContainer 
CTXWindowMenu.java,java.awt.event.ActionListener 
CTXWindowMenu.java,java.util.EventListener 
CTXWindowMenu.java,javax.accessibility.Accessible 
CTXWindowMenu.java,javax.swing.MenuElement 
CTXWindowMenu.java,java.awt.ItemSelectable 
CTXWindowMenu.java,javax.swing.SwingConstants 
CTXWindowMenu.java,java.io.Serializable 
CTXWindowMenu.java,javax.swing.TransferHandler$HasGetTransferHandler 
CTXWindowMenu.java,java.awt.image.ImageObserver 
CTXWindowMenu.java,java.awt.MenuContainer 
CTXWindowMenu.java,javax.swing.SwingConstants 
CTXWindowMenu.java,javax.accessibility.Accessible 
CTXWindowMenu.java,javax.swing.MenuElement 
CTXWindowMenu.java,java.awt.ItemSelectable 
CTXWindowMenu.java,java.io.Serializable 
CTXWindowMenu.java,javax.swing.TransferHandler$HasGetTransferHandler 
CTXWindowMenu.java,java.awt.image.ImageObserver 
CTXWindowMenu.java,java.awt.MenuContainer 
MiniMapView.java,java.io.Serializable 
MiniMapView.java,javax.swing.TransferHandler$HasGetTransferHandler 
MiniMapView.java,java.awt.image.ImageObserver 
MiniMapView.java,java.awt.MenuContainer 
MiniMapView.java,java.awt.event.MouseMotionListener 
MiniMapView.java,java.util.EventListener 
MiniMapView.java,java.awt.event.MouseListener 
MiniMapView.java,java.awt.event.MouseWheelListener 
MiniMapView.java,javax.swing.event.ChangeListener 
MiniMapView.java,java.util.EventListener 
MiniMapView.java,org.jhotdraw.framework.DrawingChangeListener 
Layoutable.java,org.jhotdraw.framework.Figure 
Layoutable.java,java.lang.Cloneable 
Layoutable.java,java.io.Serializable 
JPanelDesktop.java,org.jhotdraw.contrib.Desktop 
JPanelDesktop.java,javax.accessibility.Accessible 
JPanelDesktop.java,java.io.Serializable 
JPanelDesktop.java,javax.swing.TransferHandler$HasGetTransferHandler 
JPanelDesktop.java,java.awt.image.ImageObserver 
JPanelDesktop.java,java.awt.MenuContainer 
SplitPaneDesktop.java,org.jhotdraw.contrib.Desktop 
SplitPaneDesktop.java,javax.accessibility.Accessible 
SplitPaneDesktop.java,java.io.Serializable 
SplitPaneDesktop.java,javax.swing.TransferHandler$HasGetTransferHandler 
SplitPaneDesktop.java,java.awt.image.ImageObserver 
SplitPaneDesktop.java,java.awt.MenuContainer 
ChopPolygonConnector.java,org.jhotdraw.framework.Connector 
ChopPolygonConnector.java,java.io.Serializable 
SVGDrawApp.java,org.jhotdraw.framework.DrawingEditor 
SVGDrawApp.java,org.jhotdraw.util.PaletteListener 
SVGDrawApp.java,org.jhotdraw.util.VersionRequester 
SVGDrawApp.java,javax.swing.WindowConstants 
SVGDrawApp.java,javax.accessibility.Accessible 
SVGDrawApp.java,javax.swing.RootPaneContainer 
SVGDrawApp.java,javax.swing.TransferHandler$HasGetTransferHandler 
SVGDrawApp.java,java.awt.MenuContainer 
SVGDrawApp.java,java.awt.image.ImageObserver 
SVGDrawApp.java,java.io.Serializable 
CompositeFigureCreationTool.java,org.jhotdraw.framework.Tool 
CTXCommandMenu.java,java.awt.event.ActionListener 
CTXCommandMenu.java,java.util.EventListener 
CTXCommandMenu.java,javax.accessibility.Accessible 
CTXCommandMenu.java,javax.swing.MenuElement 
CTXCommandMenu.java,java.awt.ItemSelectable 
CTXCommandMenu.java,javax.swing.SwingConstants 
CTXCommandMenu.java,java.io.Serializable 
CTXCommandMenu.java,javax.swing.TransferHandler$HasGetTransferHandler 
CTXCommandMenu.java,java.awt.image.ImageObserver 
CTXCommandMenu.java,java.awt.MenuContainer 
JScrollPaneDesktop.java,org.jhotdraw.contrib.Desktop 
JScrollPaneDesktop.java,javax.swing.ScrollPaneConstants 
JScrollPaneDesktop.java,javax.accessibility.Accessible 
JScrollPaneDesktop.java,java.io.Serializable 
JScrollPaneDesktop.java,javax.swing.TransferHandler$HasGetTransferHandler 
JScrollPaneDesktop.java,java.awt.image.ImageObserver 
JScrollPaneDesktop.java,java.awt.MenuContainer 
CommandMenuItem.java,org.jhotdraw.contrib.CommandHolder 
CommandMenuItem.java,java.awt.event.ActionListener 
CommandMenuItem.java,java.util.EventListener 
CommandMenuItem.java,javax.accessibility.Accessible 
CommandMenuItem.java,javax.swing.MenuElement 
CommandMenuItem.java,java.awt.ItemSelectable 
CommandMenuItem.java,javax.swing.SwingConstants 
CommandMenuItem.java,java.io.Serializable 
CommandMenuItem.java,javax.swing.TransferHandler$HasGetTransferHandler 
CommandMenuItem.java,java.awt.image.ImageObserver 
CommandMenuItem.java,java.awt.MenuContainer 
CustomSelectionTool.java,org.jhotdraw.framework.Tool 
ChopDiamondConnector.java,org.jhotdraw.framework.Connector 
ChopDiamondConnector.java,java.io.Serializable 
ComponentFigure.java,org.jhotdraw.framework.Figure 
ComponentFigure.java,java.lang.Cloneable 
ComponentFigure.java,java.io.Serializable 
SplitPaneDrawApplication.java,org.jhotdraw.framework.DrawingEditor 
SplitPaneDrawApplication.java,org.jhotdraw.util.PaletteListener 
SplitPaneDrawApplication.java,org.jhotdraw.util.VersionRequester 
SplitPaneDrawApplication.java,javax.swing.WindowConstants 
SplitPaneDrawApplication.java,javax.accessibility.Accessible 
SplitPaneDrawApplication.java,javax.swing.RootPaneContainer 
SplitPaneDrawApplication.java,javax.swing.TransferHandler$HasGetTransferHandler 
SplitPaneDrawApplication.java,java.awt.MenuContainer 
SplitPaneDrawApplication.java,java.awt.image.ImageObserver 
SplitPaneDrawApplication.java,java.io.Serializable 
PolygonTool.java,org.jhotdraw.framework.Tool 
TriangleRotationHandle.java,org.jhotdraw.framework.Handle 
TriangleRotationHandle.java,org.jhotdraw.util.Undoable 
Layouter.java,java.io.Serializable 
CommandCheckBoxMenuItem.java,org.jhotdraw.contrib.CommandHolder 
CommandCheckBoxMenuItem.java,javax.swing.SwingConstants 
CommandCheckBoxMenuItem.java,javax.accessibility.Accessible 
CommandCheckBoxMenuItem.java,javax.swing.MenuElement 
CommandCheckBoxMenuItem.java,java.awt.ItemSelectable 
CommandCheckBoxMenuItem.java,java.io.Serializable 
CommandCheckBoxMenuItem.java,javax.swing.TransferHandler$HasGetTransferHandler 
CommandCheckBoxMenuItem.java,java.awt.image.ImageObserver 
CommandCheckBoxMenuItem.java,java.awt.MenuContainer 
