Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,DrawApplet.java,org.jhotdraw.applet.DrawApplet
AJHotDraw,DrawApplication.java,org.jhotdraw.application.DrawApplication
AJHotDraw,GenericRole.java,org.jhotdraw.ccconcerns.GenericRole
AJHotDraw,ClippingUpdateStrategy.java,org.jhotdraw.contrib.ClippingUpdateStrategy
AJHotDraw,PolygonScaleHandle.java,org.jhotdraw.contrib.PolygonScaleHandle
AJHotDraw,PolygonScaleHandle.java,org.jhotdraw.contrib.PolygonScaleHandle$UndoActivity
AJHotDraw,MDI_DrawApplication.java,org.jhotdraw.contrib.MDI_DrawApplication
AJHotDraw,NestedCreationTool.java,org.jhotdraw.contrib.NestedCreationTool
AJHotDraw,PolygonFigure.java,org.jhotdraw.contrib.PolygonFigure
AJHotDraw,PolygonHandle.java,org.jhotdraw.contrib.PolygonHandle
AJHotDraw,PolygonHandle.java,org.jhotdraw.contrib.PolygonHandle$UndoActivity
AJHotDraw,SimpleLayouter.java,org.jhotdraw.contrib.SimpleLayouter
AJHotDraw,DesktopEvent.java,org.jhotdraw.contrib.DesktopEvent
AJHotDraw,Desktop.java,org.jhotdraw.contrib.Desktop
AJHotDraw,GraphicalCompositeFigure.java,org.jhotdraw.contrib.GraphicalCompositeFigure
AJHotDraw,FloatingTextArea.java,org.jhotdraw.contrib.FloatingTextArea
AJHotDraw,MDIDesktopPane.java,org.jhotdraw.contrib.MDIDesktopPane
AJHotDraw,MDIDesktopPane.java,org.jhotdraw.contrib.MDIDesktopManager
AJHotDraw,AutoscrollHelper.java,org.jhotdraw.contrib.AutoscrollHelper
AJHotDraw,StandardLayouter.java,org.jhotdraw.contrib.StandardLayouter
AJHotDraw,DesktopListener.java,org.jhotdraw.contrib.DesktopListener
AJHotDraw,SplitConnectionTool.java,org.jhotdraw.contrib.SplitConnectionTool
AJHotDraw,TextAreaFigure.java,org.jhotdraw.contrib.TextAreaFigure
AJHotDraw,CustomToolBar.java,org.jhotdraw.contrib.CustomToolBar
AJHotDraw,CTXWindowMenu.java,org.jhotdraw.contrib.CTXWindowMenu
AJHotDraw,CTXWindowMenu.java,org.jhotdraw.contrib.CTXWindowMenu$ChildMenuItem
AJHotDraw,MiniMapView.java,org.jhotdraw.contrib.MiniMapView
AJHotDraw,MiniMapView.java,org.jhotdraw.contrib.MiniMapView$MouseListener
AJHotDraw,MiniMapView.java,org.jhotdraw.contrib.MiniMapView$SubjectListener
AJHotDraw,MiniMapView.java,org.jhotdraw.contrib.MiniMapView$MappedDrawingChangeListener
AJHotDraw,Layoutable.java,org.jhotdraw.contrib.Layoutable
AJHotDraw,JPanelDesktop.java,org.jhotdraw.contrib.JPanelDesktop
AJHotDraw,SplitPaneDesktop.java,org.jhotdraw.contrib.SplitPaneDesktop
AJHotDraw,ChopPolygonConnector.java,org.jhotdraw.contrib.ChopPolygonConnector
AJHotDraw,SVGDrawApp.java,org.jhotdraw.contrib.SVGDrawApp
AJHotDraw,CompositeFigureCreationTool.java,org.jhotdraw.contrib.CompositeFigureCreationTool
AJHotDraw,CTXCommandMenu.java,org.jhotdraw.contrib.CTXCommandMenu
AJHotDraw,JScrollPaneDesktop.java,org.jhotdraw.contrib.JScrollPaneDesktop
AJHotDraw,CommandMenuItem.java,org.jhotdraw.contrib.CommandMenuItem
AJHotDraw,DesktopEventService.java,org.jhotdraw.contrib.DesktopEventService
AJHotDraw,CustomSelectionTool.java,org.jhotdraw.contrib.CustomSelectionTool
AJHotDraw,ChopDiamondConnector.java,org.jhotdraw.contrib.ChopDiamondConnector
AJHotDraw,ComponentFigure.java,org.jhotdraw.contrib.ComponentFigure
AJHotDraw,Helper.java,org.jhotdraw.contrib.Helper
AJHotDraw,SplitPaneDrawApplication.java,org.jhotdraw.contrib.SplitPaneDrawApplication
AJHotDraw,PolygonTool.java,org.jhotdraw.contrib.PolygonTool
AJHotDraw,TriangleRotationHandle.java,org.jhotdraw.contrib.TriangleRotationHandle
AJHotDraw,TriangleRotationHandle.java,org.jhotdraw.contrib.TriangleRotationHandle$UndoActivity
AJHotDraw,Layouter.java,org.jhotdraw.contrib.Layouter
AJHotDraw,CommandCheckBoxMenuItem.java,org.jhotdraw.contrib.CommandCheckBoxMenuItem
AJHotDraw,SVGStorageFormat.java,org.jhotdraw.contrib.SVGStorageFormat
AJHotDraw,TextAreaTool.java,org.jhotdraw.contrib.TextAreaTool
AJHotDraw,TextAreaTool.java,org.jhotdraw.contrib.TextAreaTool$UndoActivity
AJHotDraw,WindowMenu.java,org.jhotdraw.contrib.WindowMenu
AJHotDraw,WindowMenu.java,org.jhotdraw.contrib.WindowMenu$ChildMenuItem
AJHotDraw,CommandHolder.java,org.jhotdraw.contrib.CommandHolder
AJHotDraw,DiamondFigure.java,org.jhotdraw.contrib.DiamondFigure
AJHotDraw,TriangleFigure.java,org.jhotdraw.contrib.TriangleFigure
AJHotDraw,PopupMenuFigureSelection.java,org.jhotdraw.contrib.PopupMenuFigureSelection
AJHotDraw,DNDFigures.java,org.jhotdraw.contrib.dnd.DNDFigures
AJHotDraw,DNDFiguresTransferable.java,org.jhotdraw.contrib.dnd.DNDFiguresTransferable
AJHotDraw,DragNDropTool.java,org.jhotdraw.contrib.dnd.DragNDropTool
AJHotDraw,JHDDragSourceListener.java,org.jhotdraw.contrib.dnd.JHDDragSourceListener
AJHotDraw,JHDDragSourceListener.java,org.jhotdraw.contrib.dnd.JHDDragSourceListener$RemoveUndoActivity
AJHotDraw,DNDHelper.java,org.jhotdraw.contrib.dnd.DNDHelper
AJHotDraw,DNDInterface.java,org.jhotdraw.contrib.dnd.DNDInterface
AJHotDraw,JHDDropTargetListener.java,org.jhotdraw.contrib.dnd.JHDDropTargetListener
AJHotDraw,JHDDropTargetListener.java,org.jhotdraw.contrib.dnd.JHDDropTargetListener$AddUndoActivity
AJHotDraw,AttributeContentProducerContext.java,org.jhotdraw.contrib.html.AttributeContentProducerContext
AJHotDraw,ColorContentProducer.java,org.jhotdraw.contrib.html.ColorContentProducer
AJHotDraw,PolygonFigureGeometricAdapter.java,org.jhotdraw.contrib.html.PolygonFigureGeometricAdapter
AJHotDraw,TextHolderContentProducer.java,org.jhotdraw.contrib.html.TextHolderContentProducer
AJHotDraw,AttributeFigureContentProducer.java,org.jhotdraw.contrib.html.AttributeFigureContentProducer
AJHotDraw,ContentProducerRegistry.java,org.jhotdraw.contrib.html.ContentProducerRegistry
AJHotDraw,ContentProducer.java,org.jhotdraw.contrib.html.ContentProducer
AJHotDraw,ETSLADisposalStrategy.java,org.jhotdraw.contrib.html.ETSLADisposalStrategy
AJHotDraw,ETSLADisposalStrategy.java,org.jhotdraw.contrib.html.DisposalThread
AJHotDraw,HTMLContentProducerContext.java,org.jhotdraw.contrib.html.HTMLContentProducerContext
AJHotDraw,DiamondFigureGeometricAdapter.java,org.jhotdraw.contrib.html.DiamondFigureGeometricAdapter
AJHotDraw,HTMLColorContentProducer.java,org.jhotdraw.contrib.html.HTMLColorContentProducer
AJHotDraw,HTMLContentProducer.java,org.jhotdraw.contrib.html.HTMLContentProducer
AJHotDraw,GeometricFigure.java,org.jhotdraw.contrib.html.GeometricFigure
AJHotDraw,EllipseFigureGeometricAdapter.java,org.jhotdraw.contrib.html.EllipseFigureGeometricAdapter
AJHotDraw,StandardDisposableResourceManager.java,org.jhotdraw.contrib.html.StandardDisposableResourceManager
AJHotDraw,TriangleFigureGeometricAdapter.java,org.jhotdraw.contrib.html.TriangleFigureGeometricAdapter
AJHotDraw,FigureContentProducerContext.java,org.jhotdraw.contrib.html.FigureContentProducerContext
AJHotDraw,DisposableResourceManager.java,org.jhotdraw.contrib.html.DisposableResourceManager
AJHotDraw,FigureDataContentProducer.java,org.jhotdraw.contrib.html.FigureDataContentProducer
AJHotDraw,HTMLTextAreaTool.java,org.jhotdraw.contrib.html.HTMLTextAreaTool
AJHotDraw,ResourceContentProducer.java,org.jhotdraw.contrib.html.ResourceContentProducer
AJHotDraw,DisposableResourceHolder.java,org.jhotdraw.contrib.html.DisposableResourceHolder
AJHotDraw,ContentProducerContext.java,org.jhotdraw.contrib.html.ContentProducerContext
AJHotDraw,StandardDisposableResourceHolder.java,org.jhotdraw.contrib.html.StandardDisposableResourceHolder
AJHotDraw,ResourceDisposabilityStrategy.java,org.jhotdraw.contrib.html.ResourceDisposabilityStrategy
AJHotDraw,URLContentProducer.java,org.jhotdraw.contrib.html.URLContentProducer
AJHotDraw,HTMLTextAreaFigure.java,org.jhotdraw.contrib.html.HTMLTextAreaFigure
AJHotDraw,HTMLTextAreaFigure.java,org.jhotdraw.contrib.html.HTMLTextAreaFigure$InvalidAttributeMarker
AJHotDraw,HTMLLayouter.java,org.jhotdraw.contrib.html.HTMLLayouter
AJHotDraw,AbstractContentProducer.java,org.jhotdraw.contrib.html.AbstractContentProducer
AJHotDraw,DisposableResourceManagerFactory.java,org.jhotdraw.contrib.html.DisposableResourceManagerFactory
AJHotDraw,ResourceManagerNotSetException.java,org.jhotdraw.contrib.html.ResourceManagerNotSetException
AJHotDraw,RoundRectangleGeometricAdapter.java,org.jhotdraw.contrib.html.RoundRectangleGeometricAdapter
AJHotDraw,ZoomTool.java,org.jhotdraw.contrib.zoom.ZoomTool
AJHotDraw,ZoomAreaTracker.java,org.jhotdraw.contrib.zoom.ZoomAreaTracker
AJHotDraw,ZoomCommand.java,org.jhotdraw.contrib.zoom.ZoomCommand
AJHotDraw,ScalingGraphics.java,org.jhotdraw.contrib.zoom.ScalingGraphics
AJHotDraw,ScalingGraphics.java,org.jhotdraw.contrib.zoom.ScalingGraphics$ScalingFontMetrics
AJHotDraw,ZoomUpdateStrategy.java,org.jhotdraw.contrib.zoom.ZoomUpdateStrategy
AJHotDraw,MiniMapZoomableView.java,org.jhotdraw.contrib.zoom.MiniMapZoomableView
AJHotDraw,ZoomDrawingView.java,org.jhotdraw.contrib.zoom.ZoomDrawingView
AJHotDraw,AreaTracker.java,org.jhotdraw.contrib.zoom.AreaTracker
AJHotDraw,DoubleBufferImage.java,org.jhotdraw.contrib.zoom.DoubleBufferImage
AJHotDraw,NullConnector.java,org.jhotdraw.figures.NullConnector
AJHotDraw,RadiusHandle.java,org.jhotdraw.figures.RadiusHandle
AJHotDraw,RadiusHandle.java,org.jhotdraw.figures.RadiusHandle$UndoActivity
AJHotDraw,GroupFigure.java,org.jhotdraw.figures.GroupFigure
AJHotDraw,InsertImageCommand.java,org.jhotdraw.figures.InsertImageCommand
AJHotDraw,InsertImageCommand.java,org.jhotdraw.figures.InsertImageCommand$UndoActivity
AJHotDraw,ConnectedTextTool.java,org.jhotdraw.figures.ConnectedTextTool
AJHotDraw,ConnectedTextTool.java,org.jhotdraw.figures.ConnectedTextTool$UndoActivity
