Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,DrawApplet.java,org.jhotdraw.appletDrawApplet.java,
AJHotDraw,DrawApplication.java,org.jhotdraw.applicationDrawApplication.java,
AJHotDraw,GenericRole.java,org.jhotdraw.ccconcernsGenericRole.java,
AJHotDraw,ClippingUpdateStrategy.java,org.jhotdraw.contribClippingUpdateStrategy.java,
AJHotDraw,PolygonScaleHandle.java,org.jhotdraw.contribPolygonScaleHandle.java,
AJHotDraw,PolygonScaleHandle.java,org.jhotdraw.contribPolygonScaleHandle.java,
AJHotDraw,MDI_DrawApplication.java,org.jhotdraw.contribMDI_DrawApplication.java,
AJHotDraw,NestedCreationTool.java,org.jhotdraw.contribNestedCreationTool.java,
AJHotDraw,PolygonFigure.java,org.jhotdraw.contribPolygonFigure.java,
AJHotDraw,PolygonHandle.java,org.jhotdraw.contribPolygonHandle.java,
AJHotDraw,PolygonHandle.java,org.jhotdraw.contribPolygonHandle.java,
AJHotDraw,SimpleLayouter.java,org.jhotdraw.contribSimpleLayouter.java,
AJHotDraw,DesktopEvent.java,org.jhotdraw.contribDesktopEvent.java,
AJHotDraw,Desktop.java,org.jhotdraw.contribDesktop.java,
AJHotDraw,GraphicalCompositeFigure.java,org.jhotdraw.contribGraphicalCompositeFigure.java,
AJHotDraw,FloatingTextArea.java,org.jhotdraw.contribFloatingTextArea.java,
AJHotDraw,MDIDesktopPane.java,org.jhotdraw.contribMDIDesktopPane.java,
AJHotDraw,MDIDesktopPane.java,org.jhotdraw.contribMDIDesktopPane.java,
AJHotDraw,AutoscrollHelper.java,org.jhotdraw.contribAutoscrollHelper.java,
AJHotDraw,StandardLayouter.java,org.jhotdraw.contribStandardLayouter.java,
AJHotDraw,DesktopListener.java,org.jhotdraw.contribDesktopListener.java,
AJHotDraw,SplitConnectionTool.java,org.jhotdraw.contribSplitConnectionTool.java,
AJHotDraw,TextAreaFigure.java,org.jhotdraw.contribTextAreaFigure.java,
